Epoch 00029 | Loss 2.2265 | Accuracy 0.3600 
Epoch 00039 | Loss 2.1667 | Accuracy 0.4467 
Epoch 00049 | Loss 2.1002 | Accuracy 0.4667 
Epoch 00059 | Loss 2.0018 | Accuracy 0.4467 
Epoch 00069 | Loss 1.9285 | Accuracy 0.5533 
Epoch 00079 | Loss 1.8106 | Accuracy 0.5867 
Epoch 00089 | Loss 1.7543 | Accuracy 0.5400 
Epoch 00099 | Loss 1.6527 | Accuracy 0.5933 
Epoch 00109 | Loss 1.5521 | Accuracy 0.6200 
Epoch 00119 | Loss 1.5280 | Accuracy 0.6867 
Epoch 00129 | Loss 1.5005 | Accuracy 0.7000 
Epoch 00139 | Loss 1.4452 | Accuracy 0.6333 
Epoch 00149 | Loss 1.4282 | Accuracy 0.5667 
Epoch 00159 | Loss 1.3300 | Accuracy 0.6000 
Epoch 00169 | Loss 1.4189 | Accuracy 0.5800 
Epoch 00179 | Loss 1.3634 | Accuracy 0.5533 
Epoch 00189 | Loss 1.2625 | Accuracy 0.7400 
Epoch 00199 | Loss 1.2956 | Accuracy 0.6600 
Epoch 00209 | Loss 1.2439 | Accuracy 0.5600 
Epoch 00219 | Loss 1.2929 | Accuracy 0.6600 
Epoch 00229 | Loss 1.2882 | Accuracy 0.6867 
Epoch 00239 | Loss 1.1906 | Accuracy 0.6267 
Epoch 00249 | Loss 1.2267 | Accuracy 0.6733 
Epoch 00259 | Loss 1.1720 | Accuracy 0.6867 
Epoch 00269 | Loss 1.1608 | Accuracy 0.6867 
Epoch 00279 | Loss 1.1369 | Accuracy 0.7267 
Epoch 00289 | Loss 1.1674 | Accuracy 0.6733 
Epoch 00299 | Loss 1.1415 | Accuracy 0.7333 
Epoch 00309 | Loss 1.1437 | Accuracy 0.6133 
Epoch 00319 | Loss 1.1192 | Accuracy 0.6133 
Epoch 00329 | Loss 1.1676 | Accuracy 0.7333 
Epoch 00339 | Loss 1.1029 | Accuracy 0.6600 
Epoch 00349 | Loss 1.1453 | Accuracy 0.7133 
Epoch 00359 | Loss 1.0979 | Accuracy 0.7400 
Epoch 00369 | Loss 1.0608 | Accuracy 0.7467 
Epoch 00379 | Loss 1.1144 | Accuracy 0.6467 
Epoch 00389 | Loss 1.0569 | Accuracy 0.6867 
Epoch 00399 | Loss 1.0254 | Accuracy 0.7400 
Epoch 00409 | Loss 1.0247 | Accuracy 0.7000 
Epoch 00419 | Loss 1.1101 | Accuracy 0.7067 
Epoch 00429 | Loss 1.0049 | Accuracy 0.6800 
Epoch 00439 | Loss 1.0719 | Accuracy 0.6800 
Epoch 00449 | Loss 1.0347 | Accuracy 0.7333 
Epoch 00459 | Loss 1.0134 | Accuracy 0.7333 
Epoch 00469 | Loss 0.9954 | Accuracy 0.7333 
Epoch 00479 | Loss 1.0231 | Accuracy 0.7067 
Epoch 00489 | Loss 1.0975 | Accuracy 0.7400 
Epoch 00499 | Loss 0.9807 | Accuracy 0.7533 
Epoch 00509 | Loss 0.9885 | Accuracy 0.6733 
Epoch 00519 | Loss 0.9084 | Accuracy 0.7667 
Epoch 00529 | Loss 0.9766 | Accuracy 0.7733 
Epoch 00539 | Loss 0.9886 | Accuracy 0.7800 
Epoch 00549 | Loss 0.9221 | Accuracy 0.7467 
Epoch 00559 | Loss 0.9797 | Accuracy 0.7000 
Epoch 00569 | Loss 0.9015 | Accuracy 0.7600 
Epoch 00579 | Loss 0.9456 | Accuracy 0.7067 
Epoch 00589 | Loss 0.9076 | Accuracy 0.7867 
Epoch 00599 | Loss 0.9032 | Accuracy 0.7333 
Epoch 00609 | Loss 0.9425 | Accuracy 0.7400 
Epoch 00619 | Loss 0.9974 | Accuracy 0.7267 
Epoch 00629 | Loss 0.9110 | Accuracy 0.6933 
Epoch 00639 | Loss 0.8565 | Accuracy 0.7600 
Epoch 00649 | Loss 0.9035 | Accuracy 0.7267 
Epoch 00659 | Loss 0.9796 | Accuracy 0.7467 
Epoch 00669 | Loss 0.9242 | Accuracy 0.7200 
Epoch 00679 | Loss 0.9567 | Accuracy 0.7067 
Epoch 00689 | Loss 0.8770 | Accuracy 0.7600 
Epoch 00699 | Loss 0.9223 | Accuracy 0.7467 
Epoch 00709 | Loss 0.8759 | Accuracy 0.7200 
Epoch 00719 | Loss 0.8692 | Accuracy 0.7733 
Epoch 00729 | Loss 0.9092 | Accuracy 0.7000 
Epoch 00739 | Loss 0.9090 | Accuracy 0.7867 
Epoch 00749 | Loss 0.9401 | Accuracy 0.7467 
Epoch 00759 | Loss 0.9937 | Accuracy 0.7067 
Epoch 00769 | Loss 0.8834 | Accuracy 0.6733 
Epoch 00779 | Loss 0.8777 | Accuracy 0.8000 
Epoch 00789 | Loss 0.9478 | Accuracy 0.7267 
Epoch 00799 | Loss 0.9950 | Accuracy 0.7067 
Epoch 00809 | Loss 0.8815 | Accuracy 0.7400 
Epoch 00819 | Loss 0.8318 | Accuracy 0.8200 
Epoch 00829 | Loss 0.9305 | Accuracy 0.7133 
Epoch 00839 | Loss 0.9077 | Accuracy 0.7267 
Epoch 00849 | Loss 0.8655 | Accuracy 0.7400 
Epoch 00859 | Loss 0.8906 | Accuracy 0.7067 
Epoch 00869 | Loss 0.8977 | Accuracy 0.7200 
Epoch 00879 | Loss 0.9053 | Accuracy 0.7800 
Epoch 00889 | Loss 0.8321 | Accuracy 0.7667 
Epoch 00899 | Loss 0.9074 | Accuracy 0.7200 
Epoch 00909 | Loss 0.8292 | Accuracy 0.6933 
Epoch 00919 | Loss 0.8541 | Accuracy 0.8000 
Epoch 00929 | Loss 0.8601 | Accuracy 0.7533 
Epoch 00939 | Loss 0.8436 | Accuracy 0.7800 
Epoch 00949 | Loss 0.8429 | Accuracy 0.7133 
Epoch 00959 | Loss 0.8204 | Accuracy 0.7400 
Epoch 00969 | Loss 0.8442 | Accuracy 0.8133 
Epoch 00979 | Loss 0.8397 | Accuracy 0.7933 
Epoch 00989 | Loss 0.8611 | Accuracy 0.8000 
Epoch 00999 | Loss 0.8715 | Accuracy 0.7933 
Epoch 01009 | Loss 0.8473 | Accuracy 0.7733 
Epoch 01019 | Loss 0.8987 | Accuracy 0.8267 
Epoch 01029 | Loss 0.8050 | Accuracy 0.7800 
Epoch 01039 | Loss 0.8589 | Accuracy 0.7467 
Epoch 01049 | Loss 0.8667 | Accuracy 0.8000 
Epoch 01059 | Loss 0.9917 | Accuracy 0.7067 
Epoch 01069 | Loss 0.8295 | Accuracy 0.8000 
Epoch 01079 | Loss 0.9011 | Accuracy 0.7333 
Epoch 01089 | Loss 0.8204 | Accuracy 0.8400 
Epoch 01099 | Loss 0.8713 | Accuracy 0.7467 
Epoch 01109 | Loss 0.8240 | Accuracy 0.7733 
