Epoch 00009 | Loss 2.2954 | Accuracy 0.0550 
Epoch 00019 | Loss 2.2738 | Accuracy 0.0900 
Epoch 00029 | Loss 2.2492 | Accuracy 0.1250 
Epoch 00039 | Loss 2.2175 | Accuracy 0.2550 
Epoch 00049 | Loss 2.1771 | Accuracy 0.2550 
Epoch 00059 | Loss 2.0928 | Accuracy 0.3050 
Epoch 00069 | Loss 2.0430 | Accuracy 0.3800 
Epoch 00079 | Loss 1.9851 | Accuracy 0.4400 
Epoch 00089 | Loss 1.8847 | Accuracy 0.3600 
Epoch 00099 | Loss 1.8186 | Accuracy 0.6300 
Epoch 00109 | Loss 1.7225 | Accuracy 0.3100 
Epoch 00119 | Loss 1.6895 | Accuracy 0.4600 
Epoch 00129 | Loss 1.6156 | Accuracy 0.5200 
Epoch 00139 | Loss 1.5513 | Accuracy 0.5700 
Epoch 00149 | Loss 1.5404 | Accuracy 0.5250 
Epoch 00159 | Loss 1.5062 | Accuracy 0.5200 
Epoch 00169 | Loss 1.5429 | Accuracy 0.5500 
Epoch 00179 | Loss 1.5043 | Accuracy 0.5300 
Epoch 00189 | Loss 1.4376 | Accuracy 0.5800 
Epoch 00199 | Loss 1.3799 | Accuracy 0.5850 
Epoch 00209 | Loss 1.4068 | Accuracy 0.5700 
Epoch 00219 | Loss 1.3974 | Accuracy 0.6100 
Epoch 00229 | Loss 1.3028 | Accuracy 0.5050 
Epoch 00239 | Loss 1.3393 | Accuracy 0.5800 
Epoch 00249 | Loss 1.3049 | Accuracy 0.6150 
Epoch 00259 | Loss 1.4080 | Accuracy 0.6050 
Epoch 00269 | Loss 1.3903 | Accuracy 0.4750 
Epoch 00279 | Loss 1.2097 | Accuracy 0.6800 
Epoch 00289 | Loss 1.4115 | Accuracy 0.6150 
Epoch 00299 | Loss 1.2931 | Accuracy 0.6100 
Epoch 00309 | Loss 1.2588 | Accuracy 0.6550 
Epoch 00319 | Loss 1.1866 | Accuracy 0.5650 
Epoch 00329 | Loss 1.3153 | Accuracy 0.4050 
Epoch 00339 | Loss 1.2723 | Accuracy 0.6150 
Epoch 00349 | Loss 1.2911 | Accuracy 0.6550 
Epoch 00359 | Loss 1.3317 | Accuracy 0.5300 
Epoch 00369 | Loss 1.2250 | Accuracy 0.6200 
Epoch 00379 | Loss 1.2595 | Accuracy 0.5750 
Epoch 00389 | Loss 1.4088 | Accuracy 0.5250 
Epoch 00399 | Loss 1.1742 | Accuracy 0.6350 
Epoch 00409 | Loss 1.2317 | Accuracy 0.6200 
Epoch 00419 | Loss 1.1690 | Accuracy 0.5450 
Epoch 00429 | Loss 1.3752 | Accuracy 0.6800 
Epoch 00439 | Loss 1.2152 | Accuracy 0.4750 
Epoch 00449 | Loss 1.2515 | Accuracy 0.6050 
Epoch 00459 | Loss 1.1700 | Accuracy 0.6400 
Epoch 00469 | Loss 1.1150 | Accuracy 0.5600 
Epoch 00479 | Loss 1.1638 | Accuracy 0.6500 
Epoch 00489 | Loss 1.1709 | Accuracy 0.6000 
Epoch 00499 | Loss 1.0966 | Accuracy 0.6400 
