Epoch 00009 | Loss 2.3011 | Accuracy 0.0800 
Epoch 00019 | Loss 2.2936 | Accuracy 0.0733 
Epoch 00029 | Loss 2.2839 | Accuracy 0.1200 
Epoch 00039 | Loss 2.2662 | Accuracy 0.0933 
Epoch 00049 | Loss 2.2415 | Accuracy 0.1467 
Epoch 00059 | Loss 2.1999 | Accuracy 0.3200 
Epoch 00069 | Loss 2.1701 | Accuracy 0.2800 
Epoch 00079 | Loss 2.1302 | Accuracy 0.2400 
Epoch 00089 | Loss 2.0978 | Accuracy 0.3000 
Epoch 00099 | Loss 2.0713 | Accuracy 0.3333 
Epoch 00109 | Loss 2.0498 | Accuracy 0.3600 
Epoch 00119 | Loss 2.0326 | Accuracy 0.3667 
Epoch 00129 | Loss 1.9870 | Accuracy 0.3667 
Epoch 00139 | Loss 1.9738 | Accuracy 0.3867 
Epoch 00149 | Loss 1.9466 | Accuracy 0.3200 
Epoch 00159 | Loss 1.9095 | Accuracy 0.2800 
Epoch 00169 | Loss 1.9515 | Accuracy 0.3467 
Epoch 00179 | Loss 1.8877 | Accuracy 0.2600 
Epoch 00189 | Loss 1.9117 | Accuracy 0.2533 
Epoch 00199 | Loss 1.8906 | Accuracy 0.4000 
Epoch 00209 | Loss 1.8581 | Accuracy 0.3733 
Epoch 00219 | Loss 1.8520 | Accuracy 0.3667 
Epoch 00229 | Loss 1.8376 | Accuracy 0.3600 
Epoch 00239 | Loss 1.8195 | Accuracy 0.3333 
Epoch 00249 | Loss 1.8346 | Accuracy 0.3200 
Epoch 00259 | Loss 1.7974 | Accuracy 0.3067 
Epoch 00269 | Loss 1.7853 | Accuracy 0.3333 
Epoch 00279 | Loss 1.8192 | Accuracy 0.3333 
Epoch 00289 | Loss 1.7839 | Accuracy 0.3333 
Epoch 00299 | Loss 1.7797 | Accuracy 0.3467 
Epoch 00309 | Loss 1.7557 | Accuracy 0.3800 
Epoch 00319 | Loss 1.7556 | Accuracy 0.4067 
Epoch 00329 | Loss 1.7324 | Accuracy 0.3933 
Epoch 00339 | Loss 1.7883 | Accuracy 0.3267 
Epoch 00349 | Loss 1.7253 | Accuracy 0.3533 
Epoch 00359 | Loss 1.6953 | Accuracy 0.3667 
Epoch 00369 | Loss 1.7135 | Accuracy 0.3267 
