Epoch 00029 | Loss 2.1862 | Accuracy 0.2400 
Epoch 00039 | Loss 2.0929 | Accuracy 0.5467 
Epoch 00049 | Loss 1.9784 | Accuracy 0.5533 
Epoch 00059 | Loss 1.8546 | Accuracy 0.5733 
Epoch 00069 | Loss 1.7236 | Accuracy 0.7400 
Epoch 00079 | Loss 1.6010 | Accuracy 0.6000 
Epoch 00089 | Loss 1.5403 | Accuracy 0.6800 
Epoch 00099 | Loss 1.4465 | Accuracy 0.7533 
Epoch 00109 | Loss 1.3667 | Accuracy 0.7067 
Epoch 00119 | Loss 1.3179 | Accuracy 0.7733 
Epoch 00129 | Loss 1.2552 | Accuracy 0.7667 
Epoch 00139 | Loss 1.1782 | Accuracy 0.7600 
Epoch 00149 | Loss 1.1347 | Accuracy 0.7400 
Epoch 00159 | Loss 1.1018 | Accuracy 0.8733 
Epoch 00169 | Loss 1.0453 | Accuracy 0.8667 
Epoch 00179 | Loss 1.0232 | Accuracy 0.8800 
Epoch 00189 | Loss 1.0211 | Accuracy 0.8200 
Epoch 00199 | Loss 1.0428 | Accuracy 0.7200 
Epoch 00209 | Loss 0.9879 | Accuracy 0.8267 
Epoch 00219 | Loss 0.9555 | Accuracy 0.8333 
Epoch 00229 | Loss 0.9377 | Accuracy 0.8600 
Epoch 00239 | Loss 0.9166 | Accuracy 0.8933 
Epoch 00249 | Loss 0.8733 | Accuracy 0.9067 
Epoch 00259 | Loss 0.8488 | Accuracy 0.9200 
Epoch 00269 | Loss 0.8178 | Accuracy 0.8800 
Epoch 00279 | Loss 0.8339 | Accuracy 0.8333 
Epoch 00289 | Loss 0.8327 | Accuracy 0.8533 
Epoch 00299 | Loss 0.7904 | Accuracy 0.9067 
Epoch 00309 | Loss 0.7451 | Accuracy 0.9400 
Epoch 00319 | Loss 0.7916 | Accuracy 0.9333 
Epoch 00329 | Loss 0.7712 | Accuracy 0.8400 
Epoch 00339 | Loss 0.7789 | Accuracy 0.8600 
Epoch 00349 | Loss 0.7496 | Accuracy 0.8800 
Epoch 00359 | Loss 0.7230 | Accuracy 0.9067 
Epoch 00369 | Loss 0.7288 | Accuracy 0.9133 
Epoch 00379 | Loss 0.6816 | Accuracy 0.8667 
Epoch 00389 | Loss 0.7117 | Accuracy 0.9400 
Epoch 00399 | Loss 0.7096 | Accuracy 0.8533 
Epoch 00409 | Loss 0.7243 | Accuracy 0.9133 
Epoch 00419 | Loss 0.7201 | Accuracy 0.8600 
Epoch 00429 | Loss 0.7253 | Accuracy 0.8533 
Epoch 00439 | Loss 0.6372 | Accuracy 0.9200 
Epoch 00449 | Loss 0.6376 | Accuracy 0.9133 
Epoch 00459 | Loss 0.6536 | Accuracy 0.9133 
Epoch 00469 | Loss 0.6126 | Accuracy 0.9267 
Epoch 00479 | Loss 0.6663 | Accuracy 0.8933 
Epoch 00489 | Loss 0.6311 | Accuracy 0.9133 
Epoch 00499 | Loss 0.6278 | Accuracy 0.8733 
Epoch 00509 | Loss 0.6160 | Accuracy 0.9067 
Epoch 00519 | Loss 0.6581 | Accuracy 0.8867 
Epoch 00529 | Loss 0.6635 | Accuracy 0.9067 
Epoch 00539 | Loss 0.6285 | Accuracy 0.8533 
Epoch 00549 | Loss 0.6406 | Accuracy 0.8867 
Epoch 00559 | Loss 0.6645 | Accuracy 0.8533 
Epoch 00569 | Loss 0.5936 | Accuracy 0.9000 
Epoch 00579 | Loss 0.5964 | Accuracy 0.9267 
Epoch 00589 | Loss 0.6052 | Accuracy 0.8867 
Epoch 00599 | Loss 0.6305 | Accuracy 0.8933 
Epoch 00609 | Loss 0.5146 | Accuracy 0.9267 
Epoch 00619 | Loss 0.6074 | Accuracy 0.9400 
Epoch 00629 | Loss 0.5219 | Accuracy 0.8600 
Epoch 00639 | Loss 0.5855 | Accuracy 0.8933 
Epoch 00649 | Loss 0.5694 | Accuracy 0.8933 
Epoch 00659 | Loss 0.5512 | Accuracy 0.9000 
Epoch 00669 | Loss 0.5519 | Accuracy 0.9333 
Epoch 00679 | Loss 0.5600 | Accuracy 0.9000 
Epoch 00689 | Loss 0.6010 | Accuracy 0.9000 
Epoch 00699 | Loss 0.5717 | Accuracy 0.8867 
Epoch 00709 | Loss 0.5195 | Accuracy 0.8800 
Epoch 00719 | Loss 0.5414 | Accuracy 0.9200 
Epoch 00729 | Loss 0.5199 | Accuracy 0.9067 
Epoch 00739 | Loss 0.5345 | Accuracy 0.9200 
Epoch 00749 | Loss 0.5626 | Accuracy 0.9467 
Epoch 00759 | Loss 0.5316 | Accuracy 0.9333 
Epoch 00769 | Loss 0.5253 | Accuracy 0.9067 
Epoch 00779 | Loss 0.5295 | Accuracy 0.9067 
Epoch 00789 | Loss 0.5077 | Accuracy 0.9267 
Epoch 00799 | Loss 0.4983 | Accuracy 0.9333 
Epoch 00809 | Loss 0.5090 | Accuracy 0.8933 
Epoch 00819 | Loss 0.4918 | Accuracy 0.9000 
Epoch 00829 | Loss 0.5258 | Accuracy 0.9200 
Epoch 00839 | Loss 0.5203 | Accuracy 0.8800 
Epoch 00849 | Loss 0.5067 | Accuracy 0.9067 
Epoch 00859 | Loss 0.5216 | Accuracy 0.9067 
Epoch 00869 | Loss 0.5099 | Accuracy 0.9333 
Epoch 00879 | Loss 0.4944 | Accuracy 0.9600 
Epoch 00889 | Loss 0.4828 | Accuracy 0.9200 
Epoch 00899 | Loss 0.5070 | Accuracy 0.9200 
Epoch 00909 | Loss 0.4875 | Accuracy 0.9400 
Epoch 00919 | Loss 0.5915 | Accuracy 0.9133 
Epoch 00929 | Loss 0.4797 | Accuracy 0.8467 
Epoch 00939 | Loss 0.4557 | Accuracy 0.9333 
Epoch 00949 | Loss 0.4631 | Accuracy 0.9267 
Epoch 00959 | Loss 0.4936 | Accuracy 0.9000 
Epoch 00969 | Loss 0.5081 | Accuracy 0.8733 
Epoch 00979 | Loss 0.5244 | Accuracy 0.9200 
Epoch 00989 | Loss 0.5190 | Accuracy 0.8200 
Epoch 00999 | Loss 0.4586 | Accuracy 0.9267 
Test accuracy 0.8850
