Epoch 00009 | Loss 2.2995 | Accuracy 0.0600 
Epoch 00019 | Loss 2.2531 | Accuracy 0.0850 
Epoch 00029 | Loss 2.2127 | Accuracy 0.2150 
Epoch 00039 | Loss 2.1421 | Accuracy 0.5100 
Epoch 00049 | Loss 2.0480 | Accuracy 0.4300 
Epoch 00059 | Loss 1.9148 | Accuracy 0.4250 
Epoch 00069 | Loss 1.8276 | Accuracy 0.4650 
Epoch 00079 | Loss 1.6571 | Accuracy 0.5150 
Epoch 00089 | Loss 1.5718 | Accuracy 0.3950 
Epoch 00099 | Loss 1.4741 | Accuracy 0.5650 
Epoch 00109 | Loss 1.4524 | Accuracy 0.3900 
Epoch 00119 | Loss 1.3450 | Accuracy 0.5150 
Epoch 00129 | Loss 1.2951 | Accuracy 0.4150 
Epoch 00139 | Loss 1.2606 | Accuracy 0.5200 
Epoch 00149 | Loss 1.2018 | Accuracy 0.4950 
Epoch 00159 | Loss 1.2191 | Accuracy 0.5900 
Epoch 00169 | Loss 1.1119 | Accuracy 0.4900 
Epoch 00179 | Loss 1.2498 | Accuracy 0.3450 
Epoch 00189 | Loss 1.2189 | Accuracy 0.6000 
Epoch 00199 | Loss 1.0884 | Accuracy 0.5600 
Epoch 00209 | Loss 1.1577 | Accuracy 0.3900 
Epoch 00219 | Loss 1.0041 | Accuracy 0.6850 
Epoch 00229 | Loss 1.1571 | Accuracy 0.5050 
Epoch 00239 | Loss 0.9853 | Accuracy 0.5100 
Epoch 00249 | Loss 1.0368 | Accuracy 0.6100 
Epoch 00259 | Loss 1.0607 | Accuracy 0.5400 
Epoch 00269 | Loss 1.1191 | Accuracy 0.6550 
Epoch 00279 | Loss 0.9541 | Accuracy 0.6000 
Epoch 00289 | Loss 0.9888 | Accuracy 0.5550 
Epoch 00299 | Loss 0.9854 | Accuracy 0.6050 
Epoch 00309 | Loss 0.9565 | Accuracy 0.5100 
Epoch 00319 | Loss 0.9750 | Accuracy 0.6650 
Epoch 00329 | Loss 0.8913 | Accuracy 0.4950 
Epoch 00339 | Loss 0.9037 | Accuracy 0.6550 
Epoch 00349 | Loss 1.0045 | Accuracy 0.6250 
Epoch 00359 | Loss 0.9016 | Accuracy 0.6150 
Epoch 00369 | Loss 0.9872 | Accuracy 0.6900 
Epoch 00379 | Loss 0.9515 | Accuracy 0.4900 
Epoch 00389 | Loss 0.9987 | Accuracy 0.7050 
Epoch 00399 | Loss 0.8831 | Accuracy 0.6100 
Epoch 00409 | Loss 0.8684 | Accuracy 0.6050 
Epoch 00419 | Loss 0.8300 | Accuracy 0.6300 
Epoch 00429 | Loss 0.9321 | Accuracy 0.6000 
Epoch 00439 | Loss 0.8289 | Accuracy 0.6050 
Epoch 00449 | Loss 0.8454 | Accuracy 0.5550 
Epoch 00459 | Loss 0.8621 | Accuracy 0.6250 
Epoch 00469 | Loss 0.8107 | Accuracy 0.5250 
Epoch 00479 | Loss 0.7769 | Accuracy 0.6550 
Epoch 00489 | Loss 0.8784 | Accuracy 0.6350 
Epoch 00499 | Loss 0.8201 | Accuracy 0.6500 
Epoch 00509 | Loss 0.8813 | Accuracy 0.6700 
Epoch 00519 | Loss 0.7663 | Accuracy 0.6850 
Epoch 00529 | Loss 0.7919 | Accuracy 0.6150 
Epoch 00539 | Loss 0.7809 | Accuracy 0.6450 
Epoch 00549 | Loss 0.9027 | Accuracy 0.6150 
Epoch 00559 | Loss 0.7538 | Accuracy 0.6150 
Epoch 00569 | Loss 0.7572 | Accuracy 0.6750 
Epoch 00579 | Loss 0.8132 | Accuracy 0.5800 
Epoch 00589 | Loss 0.7731 | Accuracy 0.7150 
Epoch 00599 | Loss 0.7463 | Accuracy 0.6100 
Epoch 00609 | Loss 0.7759 | Accuracy 0.7050 
Epoch 00619 | Loss 0.7464 | Accuracy 0.6700 
Epoch 00629 | Loss 0.7862 | Accuracy 0.6600 
Epoch 00639 | Loss 0.7687 | Accuracy 0.6100 
Epoch 00649 | Loss 0.7063 | Accuracy 0.6600 
Epoch 00659 | Loss 0.6906 | Accuracy 0.6600 
Epoch 00669 | Loss 0.8222 | Accuracy 0.6550 
Epoch 00679 | Loss 0.7222 | Accuracy 0.6200 
Epoch 00689 | Loss 0.7626 | Accuracy 0.7050 
Epoch 00699 | Loss 0.6880 | Accuracy 0.6250 
Epoch 00709 | Loss 0.6889 | Accuracy 0.6750 
Epoch 00719 | Loss 0.8188 | Accuracy 0.6600 
Epoch 00729 | Loss 0.7886 | Accuracy 0.6450 
Epoch 00739 | Loss 0.7349 | Accuracy 0.6850 
Epoch 00749 | Loss 0.7268 | Accuracy 0.6250 
Epoch 00759 | Loss 0.7074 | Accuracy 0.6500 
Epoch 00769 | Loss 0.8650 | Accuracy 0.6400 
Epoch 00779 | Loss 0.8082 | Accuracy 0.6150 
Epoch 00789 | Loss 0.8647 | Accuracy 0.5800 
Epoch 00799 | Loss 0.7375 | Accuracy 0.6950 
Epoch 00809 | Loss 0.7296 | Accuracy 0.6350 
Epoch 00819 | Loss 0.6610 | Accuracy 0.6900 
Epoch 00829 | Loss 0.7672 | Accuracy 0.6550 
Epoch 00839 | Loss 0.6946 | Accuracy 0.6550 
Epoch 00849 | Loss 0.7256 | Accuracy 0.6500 
Epoch 00859 | Loss 0.7771 | Accuracy 0.6800 
Epoch 00869 | Loss 0.6910 | Accuracy 0.6800 
Epoch 00879 | Loss 0.8115 | Accuracy 0.6800 
Epoch 00889 | Loss 0.7640 | Accuracy 0.6750 
Epoch 00899 | Loss 0.7041 | Accuracy 0.6550 
Epoch 00909 | Loss 0.7183 | Accuracy 0.6150 
Epoch 00919 | Loss 0.7634 | Accuracy 0.6450 
Epoch 00929 | Loss 0.7089 | Accuracy 0.6550 
Epoch 00939 | Loss 0.7082 | Accuracy 0.6600 
Epoch 00949 | Loss 0.6605 | Accuracy 0.6850 
Epoch 00959 | Loss 0.6947 | Accuracy 0.6650 
Epoch 00969 | Loss 0.8231 | Accuracy 0.7000 
Epoch 00979 | Loss 0.6268 | Accuracy 0.6550 
Epoch 00989 | Loss 0.7603 | Accuracy 0.7250 
Epoch 00999 | Loss 0.6630 | Accuracy 0.6600 
Test accuracy 0.5700Epoch 00009 | Loss 2.2801 | Accuracy 0.1200 
Epoch 00019 | Loss 2.2365 | Accuracy 0.2333 
Epoch 00029 | Loss 2.1617 | Accuracy 0.2400 
Epoch 00039 | Loss 2.0583 | Accuracy 0.3400 
Epoch 00049 | Loss 1.9245 | Accuracy 0.5067 
Epoch 00059 | Loss 1.7680 | Accuracy 0.6533 
Epoch 00069 | Loss 1.6283 | Accuracy 0.7133 
